0deg,10deg,20deg,30deg,40deg
0.429710289,0.945294583,2.290610043,3.433630362,3.576334375
0.515648093,0.802088513,2.290610043,1.804220467,1.28893756
0,0.687516355,0.945294583,2.090367984,2.290610043
0.601583577,1.203034544,2.948128095,2.347811992,2.147585428
0.28647651,0.888013472,1.775600527,2.118977235,2.919555254
0.572938698,0.601583577,1.804220467,2.833828067,2.262007348
0,0,2.74808818,2.090367984,3.576334375
0,0.916654256,2.948128095,2.605161181,2.862405226
0.28647651,1.117126119,2.46220173,3.576334375,3.233773462
0,1.775600527,1.86145763,3.205215931,3.090970004
0.343770552,1.088488842,2.147585428,3.490717185,3.176656805
0.515648093,0,2.805249497,3.433630362,3.54779707
