0deg,10deg,20deg,30deg,40deg
1.28893756,1.7469797,2.833828067,6.13573334,4.57392126
1.145762838,1.231669503,3.347987364,4.374606646,4.118189704
0.458356458,0.716159945,3.062404641,6.13573334,2.719505461
1.374834781,2.46220173,2.77666953,5.511975374,3.718993973
0.515648093,1.059851021,3.31943635,6.899249146,2.862405226
0.716159945,1.603862771,2.233403524,6.616737898,2.319211595
0.343770552,2.919555254,3.604869904,4.830019328,8.614799546
0.28647651,4.089688541,5.852378989,2.004534032,8.670801454
0.401063906,3.576334375,7.040379326,2.976699468,7.575877557
0,3.576334375,5.937416099,2.662335974,7.266008447
0.716159945,4.858462919,4.716221234,4.659308143,8.64280258
0.572938698,4.260664622,4.716221234,2.89098096,8.670801454
